BES WHS	GEODIS_AIRHAZ_STD_D2D	EA
LogSpec	KN_AIRHAZ_STD_D2A	ZA|AR|BR|CL|CR|CO|DO|EC|GT|MX|PE|PY|UY|VE|
LogSpec	KN_AIRHAZ_STD_D2A	KR|AU|NZ
LogSpec	KN_AIRHAZ_USDA_STD_A2D	US
LogSpec	KN_AIRHAZ_WHITEGLOVE_D2D	
LogSpec	KN_GND_EXPORT	BA/MK/RS
LogSpec	KN_GRD_FTL	Within EU
LogSpec	KN_GRD_FTL	GB|CH|NO
LogSpec	KN_GRD_LICENSE	GB|CH|NO
LogSpec	KN_GRD_PREPACK_FTL	Within EU
LogSpec	KN_GRDHAZ_FTL	Within EU
LogSpec	KN_GRDHAZ_FTL	GB|CH|NO
LogSpec	KN_GRDHAZ_LICENSE	GB|CH|NO
LogSpec	KN_GRDHAZ_LICENSE	|BA|MK|RS|SM|
LogSpec	KN_GRDHAZ_PREPACK_FTL 	Within EU
LogSpec	MISCELLANEOUS-GROUND-STANDARD	
LogSpec	KN_AIRHAZ_LICENSE_STD_D2A	ZA|AR|BR|CL|CO|GT|MX|PE|UY|
LogSpec	KN_AIR_LICENSE_STD_D2A	|AR|BR|CL|CR|CO|DO|EC|GT|MX|PE|PY|UY|VE|
